YEAR,PLAYER,TEAM,SALARY
2006,Grant Hill,Magic,15694250
2006,Eddie Jones,Grizzlies,14666250
2006,Tim Thomas,Suns,13975000
2006,Antonio Davis,Raptors,13865000
2006,Vince Carter,Nets,13843156
2006,Antawn Jamison,Wizards,13843156
2006,Steve Francis,Magic,13700000
2006,Shawn Marion,Suns,13700000
2006,Ray Allen,SuperSonics,13223140
2006,Elton Brand,Clippers,13152000
2006,Joe Johnson,Hawks,12000000
2006,Michael Redd,Bucks,12000000
2006,Theo Ratliff,Blazers,11666666
2006,Mike Bibby,Kings,11500000
2006,Lamar Odom,Lakers,11448596
2006,Carlos Boozer,Jazz,11260483
2006,Pau Gasol,Grizzlies,10993000
2006,Andrei Kirilenko,Jazz,10983000
2006,Kenyon Martin,Nuggets,10886364
2006,Rasheed Wallace,Pistons,10860000
2006,Zach Randolph,Blazers,10666667
2006,Raef LaFrentz,Celtics,10623288
2006,Wally Szczerbiak,Timberwolves,10500000
2006,Larry Hughes,Cavaliers,10344900
2006,Gilbert Arenas,Wizards,10243200
2006,Richard Jefferson,Nets,10200000
2006,Jamal Mashburn,76ers,10075000
2006,Steve Nash,Suns,9625000
2006,Rashard Lewis,SuperSonics,9571429
2006,Marcus Camby,Nuggets,9400000
2006,Maurice Taylor,Knicks,9100000
2006,Jason Richardson,Warriors,8888888
2006,Brad Miller,Kings,8750000
2006,Zydrunas Ilgauskas,Cavaliers,8743238
2006,Kelvin Cato,Magic,8640000
2006,Samuel Dalembert,76ers,8477178
2006,Tony Parker,Spurs,8400000
2006,Jerry Stackhouse,Mavericks,8367187
2006,Jamaal Magloire,Bucks,8333334
2006,Tyson Chandler,Bulls,8299670
2006,Mehmet Okur,Jazz,8250000
2006,Kenny Thomas,Kings,8183769
2006,Richard Hamilton,Pistons,8125000
2006,Andre Miller,Nuggets,8100000
2006,Bobby Simmons,Bucks,8000000
2006,Bonzi Wells,Kings,8000000
2006,P.J. Brown,Hornets,8000000
2006,Austin Croshere,Pacers,7900000
2006,Lorenzen Wright,Grizzlies,7700000
2006,Erick Dampier,Mavericks,7662500
2006,Jason Williams,Heat,7562500
2006,Peja Stojakovic,Kings,7525000
2006,Doug Christie,Mavericks,7500000
2006,Kwame Brown,Lakers,7500000
2006,Ben Wallace,Pistons,7500000
2006,Manu Ginobili,Spurs,7428937
2006,Eddy Curry,Knicks,7394663
2006,Troy Murphy,Warriors,7365079
2006,Adonal Foyle,Warriors,7312500
2006,Darius Miles,Blazers,7250000
2006,Cuttino Mobley,Clippers,7241379
2006,Desmond Mason,Hornets,7233333
2006,Jonathan Bender,Pacers,7175000
2006,Kurt Thomas,Suns,7085919
2006,Corey Maggette,Clippers,7000000
2006,Malik Rose,Knicks,6979147
2006,Al Harrington,Hawks,6975500
2006,Quentin Richardson,Knicks,6945500
2006,Howard Eisley,Clippers,6906000
2006,Antoine Walker,Heat,6884000
2006,Mike Miller,Grizzlies,6871431
2006,Metta World Peace,Kings,6842105
2006,Rasho Nesterovic,Spurs,6720000
2006,Jason Terry,Mavericks,6666667
2006,Jamal Crawford,Knicks,6480000
2006,Joe Smith,Bucks,6353200
2006,Ruben Patterson,Blazers,6353200
2006,Alvin Williams,Raptors,6300000
2006,Scot Pollard,Pacers,6274935
2006,Danny Fortson,SuperSonics,6207670
2006,Sam Cassell,Clippers,6187500
2006,Corliss Williamson,Kings,6000000
2006,Ricky Davis,Timberwolves,5909800
2006,Chauncey Billups,Pistons,5909800
2006,Juwan Howard,Rockets,5900400
2006,Michael Olowokandi,Timberwolves,5900400
2006,Stephen Jackson,Pacers,5610000
2006,Yao Ming,Rockets,5594906
2006,Mark Blount,Timberwolves,5515875
2006,Nazr Mohammed,Spurs,5500000
2006,Jason Collins,Nets,5500000
2006,Eric Snow,Cavaliers,5484375
2006,Jamaal Tinsley,Pacers,5400000
2006,Hedo Turkoglu,Magic,5393300
2006,Derek Fisher,Warriors,5393300
2006,Marquis Daniels,Mavericks,5393300
2006,Etan Thomas,Wizards,5393300
2006,Marko Jaric,Timberwolves,5280528
2006,Troy Hudson,Timberwolves,5253000
2006,Tony Battie,Magic,5200000
2006,David Wesley,Rockets,5075000
2006,Matt Harpring,Jazz,5020000
2006,Devean George,Lakers,5000600
2006,Stromile Swift,Rockets,5000000
2006,Antonio Daniels,Wizards,5000000
2006,Gerald Wallace,Bobcats,5000000
2006,Udonis Haslem,Heat,5000000
2006,Shareef Abdur-Rahim,Kings,5000000
2006,Jerome James,Knicks,5000000
2006,Brian Skinner,Kings,4950000
2006,Brian Cardinal,Grizzlies,4950000
2006,Shane Battier,Grizzlies,4903000
2006,Donyell Marshall,Cavaliers,4799108
2006,Dan Gadzuric,Bucks,4750000
2006,Brent Barry,Spurs,4691390
2006,LeBron James,Cavaliers,4621800
2006,Brevin Knight,Bobcats,4600000
2006,Morris Peterson,Raptors,4550000
2006,Marc Jackson,Nets,4550000
2006,Mike Dunleavy,Warriors,4506261
2006,Andrea Bargnani,Nets,4501200
2006,Chucky Atkins,Grizzlies,4500000
2006,Dwight Howard,Magic,4493160
2006,Greg Ostertag,Jazz,4400000
2006,Trenton Hassell,Timberwolves,4350000
2006,Andrew Bogut,Bucks,4340520
2006,Raja Bell,Suns,4250000
2006,Damon Stoudamire,Grizzlies,4250000
2006,Moochie Norris,Rockets,4200000
2006,Eduardo Najera,Nuggets,4190476
2006,Darko Milicic,Magic,4135200
2006,Drew Gooden,Cavaliers,4065811
2006,Emeka Okafor,Bobcats,4020120
2006,Brendan Haywood,Wizards,4000000
2006,Zaza Pachulia,Hawks,4000000
2006,Carlos Arroyo,Magic,4000000
2006,Eric Williams,Raptors,3938000
2006,Marvin Williams,Hawks,3883000
2006,Rafer Alston,Rockets,3850000
2006,Chris Mihm,Lakers,3792817
2006,Carmelo Anthony,Nuggets,3713640
2006,Kyle Korver,76ers,3636364
2006,Ben Gordon,Bulls,3610200
2006,Speedy Claxton,Hornets,3600000
2006,Damon Jones,Cavaliers,3596924
2006,Voshon Lenard,Blazers,3520000
2006,Bob Sura,Rockets,3520000
2006,Dale Davis,Pistons,3500000
2006,Tyronn Lue,Hawks,3500000
2006,Deron Williams,Jazz,3487440
2006,Mike James,Raptors,3410000
2006,Jeff McInnis,Nets,3400000
2006,Aaron Williams,Raptors,3375000
2006,Bruce Bowen,Spurs,3375000
2006,Bobby Jackson,Grizzlies,3375000
2006,Chris Bosh,Raptors,3348000
2006,Vitaly Potapenko,SuperSonics,3325416
2006,Shaun Livingston,Clippers,3254880
2006,Pat Garrity,Magic,3231250
2006,Othella Harrington,Bulls,3200000
2006,Vladimir Radmanovic,SuperSonics,3166154
2006,Chris Paul,Hornets,3144240
2006,Keyon Dooling,Magic,3100000
2006,Nene Hilario,Nuggets,3039889
2006,Dwyane Wade,Heat,3031920
2006,Kareem Rush,Bobcats,3000000
2006,Zeljko Rebraca,Clippers,3000000
2006,Robert Horry,Spurs,3000000
2006,Eric Piatkowski,Bulls,3000000
2006,Slava Medvedenko,Lakers,3000000
2006,Kevin Ollie,76ers,2950200
2006,Ira Newble,Cavaliers,2950200
2006,Devin Harris,Mavericks,2947440
2006,Tony Delk,Pistons,2925000
2006,Jake Tsakalidis,Grizzlies,2900000
2006,Raymond Felton,Bobcats,2847360
2006,Steven Hunter,76ers,2844828
2006,Chris Wilcox,SuperSonics,2812239
2006,Chris Duhon,Bulls,2800000
2006,Andres Nocioni,Bulls,2775000
2006,Chris Kaman,Clippers,2753760
2006,Primoz Brezec,Bobcats,2750000
2006,Earl Boykins,Nuggets,2750000
2006,DeShawn Stevenson,Magic,2750000
2006,Josh Childress,Hawks,2677200
2006,Michael Finley,Spurs,2675000
2006,Michael Doleac,Heat,2640000
2006,Jim Jackson,Suns,2640000
2006,Amar'e Stoudemire,Suns,2589023
2006,Brian Scalabrine,Celtics,2586207
2006,Martell Webster,Blazers,2586120
2006,Kirk Hinrich,Bulls,2513880
2006,Bostjan Nachbar,Nets,2500000
2006,Damien Wilkins,SuperSonics,2500000
2006,Juan Dixon,Blazers,2500000
2006,Caron Butler,Wizards,2461617
2006,Luol Deng,Bulls,2443920
2006,Jared Jeffries,Wizards,2433824
2006,Anthony Johnson,Pacers,2420000
2006,Melvin Ely,Bobcats,2401027
2006,James Jones,Suns,2400000
2006,Charlie Villanueva,Raptors,2360880
2006,Jose Calderon,Raptors,2333334
2006,Fred Jones,Pacers,2328843
2006,Fabricio Oberto,Spurs,2325000
2006,T.J. Ford,Bucks,2303040
2006,Dan Dickau,Celtics,2255350
2006,Rafael Araujo,Raptors,2238960
2006,Darius Songaila,Bulls,2200000
2006,Jiri Welsch,Bucks,2177114
2006,Channing Frye,Knicks,2162880
2006,Michael Sweetney,Bulls,2116920
2006,Andre Iguodala,76ers,2058000
2006,Jake Voskuhl,Bobcats,2015625
2006,Jarvis Hayes,Wizards,2011080
2006,Matt Bonner,Raptors,2000000
2006,Mark Madsen,Timberwolves,2000000
2006,Toni Kukoc,Bucks,2000000
2006,Dikembe Mutombo,Rockets,2000000
2006,DeSagana Diop,Mavericks,2000000
2006,Ike Diogu,Warriors,1988160
2006,Luke Jackson,Cavaliers,1955160
2006,Mickael Pietrus,Warriors,1910520
2006,Andrew Bynum,Lakers,1888680
2006,Jumaine Jones,Bobcats,1875000
2006,Andris Biedrins,Warriors,1857360
2006,Nick Collison,SuperSonics,1815000
2006,Jon Barry,Rockets,1800000
2006,Robert Swift,SuperSonics,1764480
2006,Tayshaun Prince,Pistons,1763115
2006,Calbert Cheaney,Warriors,1760000
2006,Reggie Evans,SuperSonics,1760000
2006,Mo Williams,Bucks,1760000
2006,Lindsey Hunter,Pistons,1760000
2006,Marcus Banks,Timberwolves,1724280
2006,Jarron Collins,Jazz,1700000
2006,John Salmons,76ers,1699001
2006,Sebastian Telfair,Blazers,1676280
2006,Yaroslav Korolev,Clippers,1670000
2006,Michael Ruffin,Wizards,1670000
2006,Derek Anderson,Heat,1670000
2006,Malik Allen,Bulls,1670000
2006,Greg Buckner,Nuggets,1670000
2006,Luke Ridnour,SuperSonics,1638000
2006,Sean May,Bobcats,1619280
2006,Scott Padgett,Nets,1600000
2006,Devin Brown,Jazz,1592400
2006,Kris Humphries,Jazz,1592400
2006,Joel Przybilla,Blazers,1560000
2006,Josh Smith,Hawks,1560000
2006,Reece Gaines,Bucks,1556160
2006,Jason Hart,Kings,1540000
2006,Rashad McCants,Timberwolves,1538400
2006,Al Jefferson,Celtics,1512840
2006,Maurice Evans,Pistons,1500000
2006,Antoine Wright,Nets,1461360
2006,Kirk Snyder,Hornets,1437240
2006,Zarko Cabarkapa,Warriors,1404360
2006,Milt Palacio,Jazz,1400000
2006,Joey Graham,Raptors,1388400
2006,David West,Hornets,1334160
2006,Danny Granger,Pacers,1318920
2006,Rasual Butler,Hornets,1300000
2006,JR Smith,Hornets,1297080
2006,Sasha Pavlovic,Cavaliers,1274160
2006,Gerald Green,Celtics,1253040
2006,Dorell Wright,Heat,1238640
2006,Dahntay Jones,Grizzlies,1223160
2006,Hakim Warrick,Grizzlies,1196520
2006,Jameer Nelson,Magic,1189200
2006,Boris Diaw,Suns,1174200
2006,Julius Hodge,Nuggets,1148760
2006,Pavel Podkolzin,Mavericks,1141560
2006,Bryon Russell,SuperSonics,1138500
2006,Alonzo Mourning,Heat,1138500
2006,Bo Outlaw,Magic,1138500
2006,Stacey Augmon,Magic,1138500
2006,Zoran Planinic,Nets,1127280
2006,Keith McLeod,Jazz,1125000
2006,Luke Walton,Lakers,1125000
2006,Nate Robinson,Knicks,1102680
2006,Jason Kapono,Heat,1100000
2006,Matt Carroll,Bobcats,1100000
2006,Victor Khryapa,Blazers,1095960
2006,Travis Outlaw,Blazers,1082160
2006,Darrick Martin,Raptors,1081575
2006,Jarrett Jack,Blazers,1058640
2006,Brian Cook,Lakers,1038960
2006,Walter McCarty,Clippers,1035000
2006,Jacque Vaughn,Nets,1029873
2006,Mikki Moore,SuperSonics,1029873
2006,Sergei Monia,Kings,1016400
2006,Francisco Garcia,Kings,1016400
2006,Delonte West,Celtics,1010040
2006,Nenad Krstic,Nets,1010040
2006,John Edwards,Hawks,1000000
2006,Steve Blake,Blazers,1000000
2006,Luther Head,Rockets,975600
2006,Tony Allen,Celtics,969600
2006,Carlos Delfino,Pistons,969600
2006,Anthony Carter,Timberwolves,965185
2006,Kevin Martin,Kings,937440
2006,Johan Petro,SuperSonics,936600
2006,Kendrick Perkins,Celtics,936480
2006,Leandro Barbosa,Suns,930600
2006,Josh Howard,Mavericks,923880
2006,Sasha Vujacic,Lakers,910440
2006,Jason Maxiell,Pistons,905640
2006,Beno Udrih,Spurs,904800
2006,Ryan Bowen,Rockets,900498
2006,Calvin Booth,Wizards,900498
2006,David Harrison,Pacers,898200
2006,Jannero Pargo,Bulls,895248
2006,Ronald Murray,SuperSonics,895248
2006,Didier Ilunga-Mbenga,Mavericks,880000
2006,Linas Kleiza,Nuggets,879360
2006,Keith Bogans,Bobcats,869373
2006,Wayne Simien,Heat,867720
2006,Anderson Varejao,Cavaliers,866800
2006,David Lee,Knicks,861360
2006,Maciej Lampe,Rockets,858534
2006,Adrian Griffin,Mavericks,844537
2006,Zendon Hamilton,76ers,835810
2006,Lee Nailon,76ers,835810
2006,Eddie Gill,Pacers,835810
2006,Mateen Cleaves,SuperSonics,835810
2006,Laron Profit,Lakers,835810
2006,Loren Woods,Raptors,780000
2006,Mike Wilks,SuperSonics,771123
2006,Michael Bradley,76ers,771123
2006,Pat Burke,Suns,750000
2006,Nikoloz Tskitishvili,Suns,745248
2006,Richie Frahm,Timberwolves,745248
2006,Lonny Baxter,Bobcats,745248
2006,Terence Morris,Magic,745248
2006,Smush Parker,Lakers,745248
2006,Rick Brunson,SuperSonics,719373
2006,Alan Henderson,Cavaliers,719373
2006,Francisco Elson,Nuggets,719373
2006,Nick Van Exel,Spurs,719373
2006,Sean Marks,Spurs,719373
2006,Ronald Dupree,Timberwolves,719373
2006,Linton Johnson,Nets,719373
2006,Jamal Sampson,Kings,719373
2006,Charles Smith,Blazers,719373
2006,Darrell Armstrong,Mavericks,719373
2006,Jermaine Jackson,Bucks,696508
2006,Salim Stoudamire,Hawks,675000
2006,Peter John Ramos,Wizards,660000
2006,Esteban Batista,Hawks,644209
2006,Royal Ivey,Hawks,641748
2006,Awvee Storey,Wizards,641748
2006,Antonio Burks,Grizzlies,641748
2006,Mario Kasun,Magic,641748
2006,Seung Jin Ha,Blazers,641748
2006,Jackie Butler,Knicks,641748
2006,Pape Sow,Raptors,641748
2006,Earl Barron,Heat,641748
2006,Bernard Robinson,Bobcats,641747
2006,Matt Barnes,76ers,627251
2006,James Singleton,Clippers,625000
2006,Daniel Ewing,Clippers,450000
2006,Lou Williams,76ers,450000
2006,Monta Ellis,Warriors,448762
2006,Ryan Gomes,Celtics,428762
2006,Chris Taft,Warriors,423762
2006,Alan Anderson,Bobcats,398762
2006,Boniface N'Dong,Clippers,398762
2006,Anthony Roberson,Grizzlies,398762
2006,Alex Acker,Pistons,398762
2006,Brandon Bass,Hornets,398762
2006,Orien Greene,Celtics,398762
2006,Kevin Burleson,Bobcats,398762
2006,Rawle Marshall,Mavericks,398762
2006,Dwayne Jones II,Timberwolves,398762
2006,Robert Whaley,Jazz,398762
2006,Gerald Fitch,Heat,398762
2006,Martynas Andriuskevicius,Cavaliers,398762
2006,Amir Johnson,Pistons,398762
2006,Dijon Thompson,Suns,398762
2006,CJ Miles,Jazz,398761
2006,Donell Taylor,Wizards,398672
2006,Chuck Hayes,Rockets,248118
2007,Kevin Garnett,Timberwolves,21000000
2007,Shaquille O'Neal,Heat,20000000
2007,Jason Kidd,Nets,18084000
2007,Jermaine O'Neal,Pacers,18084000
2007,Kobe Bryant,Lakers,17718750
2007,Tim Duncan,Spurs,17429673
2007,Allen Iverson,76ers,17184375
2007,Stephon Marbury,Knicks,17184375
2007,Tracy McGrady,Rockets,16901500
2007,Grant Hill,Magic,16901500
2007,Ben Wallace,Bulls,16000000
2007,Vince Carter,Nets,15101626
2007,Antawn Jamison,Wizards,15101626
2007,Dirk Nowitzki,Mavericks,15101622
2007,Steve Francis,Knicks,15070000
2007,Shawn Marion,Suns,15070000
2007,Ray Allen,SuperSonics,14611570
2007,Elton Brand,Clippers,14248000
2007,Larry Hughes,Cavaliers,13363012
2007,Michael Redd,Bucks,13260000
2007,Joe Johnson,Hawks,12744190
2007,Mike Bibby,Kings,12500000
2007,Amar'e Stoudemire,Suns,12455000
2007,Yao Ming,Rockets,12455000
2007,Pau Gasol,Grizzlies,12364000
2007,Andrei Kirilenko,Jazz,12364000
2007,Lamar Odom,Lakers,12348596
2007,Kenyon Martin,Nuggets,12068182
2007,Zach Randolph,Blazers,12000000
2007,Wally Szczerbiak,Celtics,11775000
2007,Theo Ratliff,Celtics,11666666
2007,Rasheed Wallace,Pistons,11650000
2007,Raef LaFrentz,Blazers,11532037
2007,Carlos Boozer,Jazz,11260483
2007,Richard Jefferson,Nets,11200000
2007,Gilbert Arenas,Wizards,11096800
2007,Peja Stojakovic,Hornets,10800000
2007,Steve Nash,Suns,10500000
2007,Jason Richardson,Warriors,9999999
2007,Erick Dampier,Mavericks,9628000
2007,Brad Miller,Kings,9625000
2007,Samuel Dalembert,76ers,9464307
2007,Tony Parker,Spurs,9450000
2007,Zydrunas Ilgauskas,Cavaliers,9442697
2007,Rashard Lewis,SuperSonics,9350649
2007,Jerry Stackhouse,Mavericks,9296874
2007,Richard Hamilton,Pistons,9187500
2007,Tyson Chandler,Hornets,9150000
2007,Andre Miller,76ers,8966666
2007,Marcus Camby,Nuggets,8800000
2007,Bobby Simmons,Bucks,8640000
2007,P.J. Brown,Bulls,8560000
2007,Jamaal Magloire,Blazers,8433334
2007,Kwame Brown,Lakers,8287500
2007,Troy Murphy,Pacers,8285714
2007,Manu Ginobili,Spurs,8254374
2007,Jason Williams,Heat,8250000
2007,Mehmet Okur,Jazz,8250000
2007,Eddy Curry,Knicks,8171103
2007,Cuttino Mobley,Clippers,8125000
2007,Adonal Foyle,Warriors,8125000
2007,Doug Christie,Clippers,8125000
2007,Jason Terry,Mavericks,8100000
2007,Desmond Mason,Hornets,8037036
2007,Nene Hilario,Nuggets,8000000
2007,Tayshaun Prince,Pistons,7851240
2007,Kurt Thomas,Suns,7821482
2007,Darius Miles,Blazers,7750000
2007,Al Harrington,Pacers,7625000
2007,Mike Miller,Grizzlies,7623813
2007,Antoine Walker,Heat,7606820
2007,Metta World Peace,Kings,7526316
2007,Quentin Richardson,Knicks,7525500
2007,Malik Rose,Knicks,7525397
2007,Mike Dunleavy,Pacers,7438016
2007,Caron Butler,Wizards,7438000
2007,Austin Croshere,Mavericks,7300000
2007,Mark Blount,Timberwolves,7288165
2007,Rasho Nesterovic,Raptors,7280000
2007,Jamal Crawford,Knicks,7200000
2007,Kenny Thomas,Kings,7187500
2007,Corey Maggette,Clippers,7000000
2007,Speedy Claxton,Hawks,6854546
2007,Sam Cassell,Clippers,6850000
2007,Joe Smith,76ers,6807000
2007,Ruben Patterson,Bucks,6807000
2007,Drew Gooden,Cavaliers,6645402
2007,Danny Fortson,SuperSonics,6596990
2007,Matt Harpring,Jazz,6500000
2007,Corliss Williamson,Kings,6500000
2007,Juwan Howard,Rockets,6392100
2007,James Posey,Heat,6392100
2007,Ricky Davis,Timberwolves,6364400
2007,Chauncey Billups,Pistons,6364400
2007,Chris Wilcox,SuperSonics,6250000
2007,Stephen Jackson,Pacers,6120000
2007,Eric Snow,Cavaliers,6093750
2007,Antonio McDyess,Pistons,5883600
2007,Derek Fisher,Jazz,5883600
2007,Marquis Daniels,Pacers,5883600
2007,Etan Thomas,Wizards,5883600
2007,Jamaal Tinsley,Pacers,5850000
2007,LeBron James,Cavaliers,5828089
2007,Jason Collins,Nets,5800000
2007,Tony Battie,Magic,5746000
2007,Donyell Marshall,Cavaliers,5633037
2007,Troy Hudson,Timberwolves,5603000
2007,Gerald Wallace,Bobcats,5525000
2007,Marko Jaric,Timberwolves,5525000
2007,Udonis Haslem,Heat,5525000
2007,Jeff Foster,Pacers,5500000
2007,Brian Skinner,Bucks,5400000
2007,Stromile Swift,Grizzlies,5400000
2007,Shareef Abdur-Rahim,Kings,5400000
2007,Jerome James,Knicks,5400000
2007,Shane Battier,Rockets,5393300
2007,Dan Gadzuric,Bucks,5252065
2007,Bobby Jackson,Hornets,5250000
2007,Darko Milicic,Magic,5218622
2007,Nazr Mohammed,Pistons,5215000
2007,Jared Jeffries,Knicks,5215000
2007,Mike James,Timberwolves,5215000
2007,Vladimir Radmanovic,Lakers,5215000
2007,Brent Barry,Spurs,5117880
2007,Marc Jackson,Hornets,4875000
2007,Dwight Howard,Magic,4806720
2007,Carmelo Anthony,Nuggets,4694041
2007,Andrew Bogut,Bucks,4665960
2007,Eduardo Najera,Nuggets,4571428
2007,Morris Peterson,Raptors,4550000
2007,Andrea Bargnani,Raptors,4501200
2007,Raja Bell,Suns,4500000
2007,Brendan Haywood,Wizards,4500000
2007,Brevin Knight,Bobcats,4400000
2007,John Salmons,Kings,4400000
2007,Trenton Hassell,Timberwolves,4350000
2007,Emeka Okafor,Bobcats,4300560
2007,Eric Williams,Bobcats,4296000
2007,Chris Bosh,Raptors,4235220
2007,Chris Mihm,Lakers,4214241
2007,Rafer Alston,Rockets,4200000
2007,Marvin Williams,Hawks,4174800
2007,Kevin Durant,Warriors,4171200
2007,Anthony Parker,Raptors,4150000
2007,Carlos Arroyo,Magic,4100000
2007,Damon Stoudamire,Grizzlies,4050000
2007,LaMarcus Aldridge,Blazers,4027320
2007,Kyle Korver,76ers,4018182
2007,Reggie Evans,Nuggets,4000000
2007,Gordan Giricek,Jazz,4000000
2007,Zaza Pachulia,Hawks,4000000
2007,Andres Nocioni,Bulls,3950000
2007,Damon Jones,Cavaliers,3884678
2007,Ben Gordon,Bulls,3862080
2007,Shaun Livingston,Clippers,3841920
2007,Dwyane Wade,Heat,3841443
2007,Bob Sura,Rockets,3840000
2007,Jorge Garbajosa,Raptors,3750000
2007,Bruce Bowen,Spurs,3750000
2007,Deron Williams,Jazz,3749040
2007,Vitaly Potapenko,Kings,3674584
2007,Darius Songaila,Wizards,3650000
2007,Adam Morrison,Bobcats,3616680
2007,Jeff McInnis,Bobcats,3600000
2007,Marcus Banks,Suns,3600000
2007,Pat Garrity,Magic,3525000
2007,Dale Davis,Pistons,3500000
2007,Tyronn Lue,Hawks,3500000
2007,Chris Kaman,Clippers,3491767
2007,Chris Paul,Hornets,3380160
2007,Keyon Dooling,Magic,3348000
2007,Robert Horry,Spurs,3315000
2007,Melvin Ely,Bobcats,3303813
2007,Tyrus Thomas,Bulls,3260760
2007,Lorenzen Wright,Hawks,3250000
2007,Greg Buckner,Mavericks,3240741
2007,Zeljko Rebraca,Clippers,3240000
2007,Kevin Ollie,76ers,3196050
2007,Ira Newble,Cavaliers,3196050
2007,Kirk Hinrich,Bulls,3192628
2007,Devin Harris,Mavericks,3153120
2007,Fred Jones,Raptors,3100000
2007,Trevor Ariza,Magic,3100000
2007,Raymond Felton,Bobcats,3060840
2007,Jeff Green,Magic,3058200
2007,Steven Hunter,76ers,3024000
2007,Chris Duhon,Bulls,3024000
2007,Francisco Elson,Spurs,3000000
2007,Chucky Atkins,Grizzlies,3000000
2007,Rasual Butler,Hornets,3000000
2007,Shelden Williams,Hawks,2952840
2007,Earl Boykins,Bucks,2950000
2007,T.J. Ford,Raptors,2929467
2007,Jake Tsakalidis,Grizzlies,2900000
2007,Michael Finley,Spurs,2889000
2007,Michael Doleac,Heat,2880000
2007,Josh Childress,Hawks,2863920
2007,Willie Green,76ers,2800000
2007,Brian Scalabrine,Celtics,2793103
2007,Martell Webster,Blazers,2780160
2007,Dan Dickau,Blazers,2753218
2007,Primoz Brezec,Bobcats,2750000
2007,Damien Wilkins,SuperSonics,2700000
2007,Eddie Griffin,Timberwolves,2700000
2007,Michael Sweetney,Bulls,2696956
2007,Brandon Roy,Blazers,2681880
2007,James Jones,Suns,2650000
2007,Anthony Johnson,Mavericks,2640000
2007,Jarron Collins,Jazz,2625698
2007,Luol Deng,Bulls,2614440
2007,Jarvis Hayes,Wizards,2564127
2007,Juan Dixon,Raptors,2550000
2007,Charlie Villanueva,Bucks,2537880
2007,Corey Brewer,Lakers,2535720
2007,Mickael Pietrus,Warriors,2535260
2007,Keith Bogans,Magic,2510000
2007,Nick Collison,SuperSonics,2501070
2007,Fabricio Oberto,Spurs,2500000
2007,Bostjan Nachbar,Nets,2500000
2007,Aaron McKie,Lakers,2500000
2007,Randy Foye,Timberwolves,2448240
2007,Luke Ridnour,SuperSonics,2425878
2007,Rafael Araujo,Jazz,2395200
2007,Jose Calderon,Raptors,2333334
2007,Channing Frye,Knicks,2325000
2007,Lindsey Hunter,Pistons,2250000
2007,Rudy Gay,Grizzlies,2242920
2007,Mark Madsen,Timberwolves,2210000
2007,Dikembe Mutombo,Rockets,2210000
2007,Andre Iguodala,76ers,2201640
2007,Othella Harrington,Bobcats,2200000
2007,Jackie Butler,Spurs,2200000
2007,Scot Pollard,Cavaliers,2200000
2007,Zarko Cabarkapa,Warriors,2157097
2007,Ike Diogu,Pacers,2137200
2007,Bonzi Wells,Rockets,2115000
2007,Patrick O'Bryant,Warriors,2061720
2007,David West,Hornets,2051938
2007,Andrew Bynum,Lakers,2030280
2007,Matt Bonner,Spurs,2000000
2007,Jake Voskuhl,Bobcats,2000000
2007,DeSagana Diop,Mavericks,1998000
2007,Andris Biedrins,Warriors,1986960
2007,Devean George,Mavericks,1974259
2007,Sasha Pavlovic,Cavaliers,1962206
2007,Mouhamed Sene,SuperSonics,1958640
2007,Mo Williams,Bucks,1920000
2007,Robert Swift,SuperSonics,1887600
2007,Dahntay Jones,Grizzlies,1886113
2007,Boris Diaw,Suns,1870501
2007,JJ Redick,Magic,1860720
2007,Zoran Planinic,Nets,1854376
2007,Travis Outlaw,Blazers,1836426
2007,Thaddeus Young,Pacers,1830720
2007,Brian Cook,Lakers,1817141
2007,Michael Ruffin,Wizards,1803600
2007,Malik Allen,Bulls,1803600
2007,Vassilis Spanoulis,Rockets,1800000
2007,Walter Herrmann Heinrich,Bobcats,1800000
2007,Sebastian Telfair,Celtics,1793160
2007,Hilton Armstrong,Hornets,1767600
2007,Ronald Murray,Pistons,1750000
2007,David Wesley,Cavaliers,1750000
2007,Shammond Williams,Lakers,1750000
2007,Aaron Williams,Clippers,1750000
2007,Sean May,Bobcats,1740720
2007,Kris Humphries,Raptors,1703520
2007,Kendrick Perkins,Celtics,1689410
2007,Leandro Barbosa,Suns,1679733
2007,Thabo Sefolosha,Bulls,1679280
2007,Josh Howard,Mavericks,1667603
2007,Rashad McCants,Timberwolves,1653720
2007,Didier Ilunga-Mbenga,Mavericks,1628959
2007,Maurice Evans,Lakers,1620000
2007,Al Jefferson,Celtics,1618320
2007,Clifford Robinson,Nets,1600000
2007,Ronnie Brewer,Jazz,1595400
2007,Antoine Wright,Nets,1570920
2007,Rodney Stuckey,Pacers,1569600
2007,Jalen Rose,Suns,1540000
2007,Kirk Snyder,Rockets,1537440
2007,Justin Reed,Timberwolves,1529873
2007,Cedric Simmons,Hornets,1515480
2007,Joey Graham,Raptors,1492440
2007,Adrian Griffin,Bulls,1475000
2007,Yaroslav Korolev,Clippers,1470000
2007,Josh Smith,Hawks,1460640
2007,Rodney Carney,76ers,1439760
2007,Danny Granger,Pacers,1417800
2007,Eddie House,Nets,1400000
2007,JR Smith,Nuggets,1387560
2007,Luke Walton,Lakers,1375000
2007,Shawne Williams,Pacers,1367760
2007,Keith McLeod,Pacers,1350000
2007,Gerald Green,Celtics,1347000
2007,Steve Blake,Bucks,1330000
2007,Dorell Wright,Heat,1325160
2007,Hakim Warrick,Grizzlies,1286280
