year,team,foreign_percent,homegames,total_attendence,avg_attendence
2008,Warriors,33.3,41,776660,18942
2008,Wizards,27.3,41,681117,16612
2009,76ers,10,41,647898,15802
2009,Bucks,46.2,41,630976,15389
2009,Bulls,37.5,40,847903,21197
2009,Cavaliers,40,41,820439,20010
2009,Clippers,8.3,40,646830,16170
2009,Grizzlies,30.8,40,509806,12745
2009,Hawks,18.2,41,686688,16748
2009,Heat,16.7,40,729178,18229
2009,Hornets,15.4,40,581049,14526
2009,Jazz,38.5,41,816042,19903
2009,Kings,25,40,502852,12571
2009,Lakers,16.7,41,778877,18997
2009,Magic,8.3,41,698768,17043
2009,Mavericks,9.1,41,821723,20042
2009,Nets,23.1,41,621062,15147
2009,Nuggets,33.3,41,706165,17223
2009,Pacers,15.4,41,581472,14182
2009,Raptors,21.4,41,769707,18773
2009,Rockets,27.3,40,699280,17482
2009,Spurs,35.7,41,749048,18269
2009,Suns,37.5,41,755302,18422
2009,Thunder,20,40,747732,18693
2009,Warriors,40,41,776660,18942
2009,Wizards,21.4,41,681117,16612
2010,76ers,15.4,41,647898,15802
2010,Bucks,30.8,41,630976,15389
2010,Bulls,25,40,847903,21197
2010,Cavaliers,20,41,820439,20010
2010,Clippers,9.1,40,646830,16170
2010,Grizzlies,17.6,40,509806,12745
2010,Hawks,16.7,41,686688,16748
2010,Heat,10,40,729178,18229
2010,Hornets,33.3,40,581049,14526
2010,Jazz,40,41,816042,19903
2010,Kings,40,40,502852,12571
2010,Lakers,16.7,41,778877,18997
2010,Magic,18.2,41,698768,17043
2010,Mavericks,25,41,821723,20042
2010,Nets,18.8,41,621062,15147
2010,Nuggets,11.1,41,706165,17223
2010,Pacers,8.3,41,581472,14182
2010,Pistons,25,41,896971,21877
2010,Raptors,30.8,41,769707,18773
2010,Rockets,20,40,699280,17482
2010,Spurs,33.3,41,749048,18269
2010,Suns,30,41,755302,18422
2010,Thunder,30.8,40,747732,18693
2010,Timberwolves,25,41,594743,14505
2010,Warriors,36.4,41,776660,18942
2010,Wizards,10.5,41,681117,16612
2011,76ers,18.2,41,647898,15802
2011,Bucks,30.8,41,630976,15389
2011,Bulls,40,40,847903,21197
2011,Cavaliers,22.2,41,820439,20010
2011,Clippers,16.7,40,646830,16170
2011,Grizzlies,33.3,40,509806,12745
2011,Hawks,28.6,41,686688,16748
2011,Heat,22.2,40,729178,18229
2011,Hornets,20,40,581049,14526
2011,Jazz,27.3,41,816042,19903
2011,Kings,41.7,40,502852,12571
2011,Lakers,11.1,41,778877,18997
2011,Mavericks,25,41,821723,20042
2011,Nets,25,41,621062,15147
2011,Pacers,7.7,41,581472,14182
2011,Pistons,15.4,41,896971,21877
2011,Raptors,43.8,41,769707,18773
2011,Rockets,20,40,699280,17482
2011,Spurs,45.5,41,749048,18269
2011,Suns,33.3,41,755302,18422
2011,Thunder,25,40,747732,18693
2011,Timberwolves,21.4,41,594743,14505
2011,Warriors,22.2,41,776660,18942
2011,Wizards,21.4,41,681117,16612
2012,76ers,20,41,647898,15802
2012,Bucks,35.7,41,630976,15389
2012,Bulls,36.4,40,847903,21197
2012,Cavaliers,57.1,41,820439,20010
2012,Grizzlies,15.4,40,509806,12745
2012,Hawks,25,41,686688,16748
2012,Heat,10,40,729178,18229
2012,Hornets,50,40,581049,14526
2012,Jazz,16.7,41,816042,19903
2012,Kings,20,40,502852,12571
2012,Lakers,18.2,41,778877,18997
2012,Magic,9.1,41,698768,17043
2012,Mavericks,20,41,821723,20042
2012,Nets,10,41,621062,15147
2012,Nuggets,30.8,41,706165,17223
2012,Pacers,9.1,41,581472,14182
2012,Pistons,25,41,896971,21877
2012,Raptors,54.5,41,769707,18773
2012,Rockets,33.3,40,699280,17482
2012,Spurs,41.7,41,749048,18269
2012,Suns,18.2,41,755302,18422
2012,Thunder,20,40,747732,18693
2012,Timberwolves,28.6,41,594743,14505
2012,Warriors,12.5,41,776660,18942
2012,Wizards,25,41,681117,16612
2013,Bucks,30,41,630976,15389
2013,Bulls,40,40,847903,21197
2013,Cavaliers,50,41,820439,20010
2013,Celtics,12.5,41,763584,18624
2013,Grizzlies,12.5,40,509806,12745
2013,Hawks,22.2,41,686688,16748
2013,Heat,8.3,40,729178,18229
2013,Hornets,37.5,40,581049,14526
2013,Jazz,8.3,41,816042,19903
2013,Kings,7.1,40,502852,12571
2013,Lakers,28.6,41,778877,18997
2013,Magic,41.7,41,698768,17043
2013,Mavericks,23.1,41,821723,20042
2013,Nets,11.1,41,621062,15147
2013,Nuggets,41.7,41,706165,17223
2013,Pacers,11.1,41,581472,14182
2013,Pistons,20,41,896971,21877
2013,Raptors,33.3,41,769707,18773
2013,Rockets,33.3,40,699280,17482
2013,Spurs,53.8,41,749048,18269
2013,Suns,33.3,41,755302,18422
2013,Thunder,30.8,40,747732,18693
2013,Timberwolves,33.3,41,594743,14505
2013,Warriors,30,41,776660,18942
2013,Wizards,16.7,41,681117,16612
2014,76ers,7.7,41,647898,15802
2014,Bucks,40,41,630976,15389
2014,Bulls,18.2,40,847903,21197
2014,Cavaliers,50,41,820439,20010
2014,Celtics,16.7,41,763584,18624
2014,Clippers,9.1,40,646830,16170
2014,Grizzlies,21.4,40,509806,12745
2014,Hawks,25,41,686688,16748
2014,Heat,7.7,40,729178,18229
2014,Jazz,15.4,41,816042,19903
2014,Kings,8.3,40,502852,12571
2014,Lakers,23.1,41,778877,18997
2014,Magic,40,41,698768,17043
2014,Mavericks,27.3,41,821723,20042
2014,Nets,25,41,621062,15147
2014,Nuggets,27.3,41,706165,17223
2014,Pacers,25,41,581472,14182
2014,Pelicans,14.3,41,695727,16968
2014,Pistons,20,41,896971,21877
2014,Raptors,11.1,41,769707,18773
2014,Rockets,26.7,40,699280,17482
2014,Spurs,50,41,749048,18269
2014,Suns,23.1,41,755302,18422
2014,Thunder,38.5,40,747732,18693
2014,Timberwolves,45.5,41,594743,14505
2014,Warriors,23.1,41,776660,18942
2014,Wizards,25,41,681117,16612
2015,76ers,18.8,41,647898,15802
2015,Bucks,30,41,630976,15389
2015,Bulls,27.3,40,847903,21197
2015,Cavaliers,33.3,41,820439,20010
2015,Celtics,11.1,41,763584,18624
2015,Grizzlies,23.5,40,509806,12745
2015,Hawks,30.8,41,686688,16748
2015,Heat,10,40,729178,18229
2015,Hornets,11.8,40,581049,14526
2015,Jazz,33.3,41,816042,19903
2015,Kings,16.7,40,502852,12571
2015,Lakers,18.2,41,778877,18997
2015,Magic,25,41,698768,17043
2015,Mavericks,18.2,41,821723,20042
2015,Nets,27.3,41,621062,15147
2015,Nuggets,36.4,41,706165,17223
2015,Pacers,36.4,41,581472,14182
2015,Pelicans,25,41,695727,16968
2015,Pistons,27.3,41,896971,21877
2015,Raptors,28.6,41,769707,18773
2015,Rockets,37.5,40,699280,17482
2015,Spurs,61.5,41,749048,18269
2015,Suns,23.5,41,755302,18422
2015,Thunder,18.8,40,747732,18693
2015,Timberwolves,46.7,41,594743,14505
2015,Warriors,22.2,41,776660,18942
2015,Wizards,16.7,41,681117,16612
2016,76ers,11.1,41,647898,15802
