year,team,percent_of_foreign
2011,Suns,33.3
2011,Thunder,25.0
2011,Timberwolves,21.4
2011,Warriors,22.2
2011,Wizards,21.4
2012,76ers,20.0
2012,Blazers,15.4
2012,Bobcats,33.3
2012,Bucks,35.7
2012,Bulls,36.4
2012,Cavaliers,57.1
2012,Grizzlies,15.4
2012,Hawks,25.0
2012,Heat,10.0
2012,Hornets,50.0
2012,Jazz,16.7
2012,Kings,20.0
2012,Knicks,14.3
2012,Lakers,18.2
2012,Magic,9.1
2012,Mavericks,20.0
2012,Nets,10.0
2012,Nuggets,30.8
2012,Pacers,9.1
2012,Pistons,25.0
2012,Raptors,54.5
2012,Rockets,33.3
2012,Spurs,41.7
2012,Suns,18.2
2012,Thunder,20.0
2012,Timberwolves,28.6
2012,Warriors,12.5
2012,Wizards,25.0
2013,Blazers,33.3
2013,Bobcats,22.2
2013,Bucks,30.0
2013,Bulls,40.0
2013,Cavaliers,50.0
2013,Celtics,12.5
2013,Grizzlies,12.5
2013,Hawks,22.2
2013,Heat,8.3
2013,Hornets,37.5
2013,Jazz,8.3
2013,Kings,7.1
2013,Lakers,28.6
2013,Magic,41.7
2013,Mavericks,23.1
2013,Nets,11.1
2013,Nuggets,41.7
2013,Pacers,11.1
2013,Pistons,20.0
2013,Raptors,33.3
2013,Rockets,33.3
2013,Spurs,53.8
2013,Suns,33.3
2013,Thunder,30.8
2013,Timberwolves,33.3
2013,Warriors,30.0
2013,Wizards,16.7
2014,76ers,7.7
2014,Blazers,25.0
2014,Bobcats,18.8
2014,Bucks,40.0
2014,Bulls,18.2
2014,Cavaliers,50.0
2014,Celtics,16.7
2014,Clippers,9.1
2014,Grizzlies,21.4
2014,Hawks,25.0
2014,Heat,7.7
2014,Jazz,15.4
2014,Kings,8.3
2014,Knicks,22.2
2014,Lakers,23.1
2014,Magic,40.0
2014,Mavericks,27.3
2014,Nets,25.0
2014,Nuggets,27.3
2014,Pacers,25.0
2014,Pelicans,14.3
2014,Pistons,20.0
2014,Raptors,11.1
2014,Rockets,26.7
2014,Spurs,50.0
2014,Suns,23.1
2014,Thunder,38.5
2014,Timberwolves,45.5
2014,Warriors,23.1
2014,Wizards,25.0
2015,76ers,18.8
2015,Blazers,30.8
2015,Bucks,30.0
2015,Bulls,27.3
2015,Cavaliers,33.3
2015,Celtics,11.1
2015,Grizzlies,23.5
2015,Hawks,30.8
2015,Heat,10.0
2015,Hornets,11.8
2015,Jazz,33.3
2015,Kings,16.7
2015,Knicks,40.0
2015,Lakers,18.2
2015,Magic,25.0
2015,Mavericks,18.2
2015,Nets,27.3
2015,Nuggets,36.4
2015,Pacers,36.4
2015,Pelicans,25.0
2015,Pistons,27.3
2015,Raptors,28.6
2015,Rockets,37.5
2015,Spurs,61.5
2015,Suns,23.5
2015,Thunder,18.8
2015,Timberwolves,46.7
2015,Warriors,22.2
2015,Wizards,16.7
2016,76ers,11.1
2016,Blazers,16.7
2016,Bucks,36.4
2016,Bulls,26.7
2016,Cavaliers,50.0
2016,Celtics,15.4
2016,Clippers,14.3
2016,Grizzlies,11.8
2016,Hawks,41.7
2016,Heat,25.0
2016,Hornets,6.3
2016,Jazz,35.7
2016,Kings,25.0
2016,Knicks,20.0
2016,Lakers,25.0
2016,Magic,35.7
2016,Mavericks,20.0
2016,Nets,27.3
2016,Nuggets,54.5
2016,Pacers,10.0
2016,Pelicans,18.2
2016,Pistons,27.3
2016,Raptors,38.5
2016,Rockets,18.2
2016,Spurs,42.9
2016,Suns,16.7
2016,Thunder,18.8
2016,Timberwolves,58.3
2016,Warriors,25.0
2016,Wizards,7.7
