year,player,games,mpg,ts,ast,turn_over,usg,orr,drr,rebr,per,va,ewa,foreign_player,team,salary,homegames,total_attendence,avg_attendence
2003,Elton Brand,62,39.6,0.543,11.4,11.7,20.6,13,19.3,16.2,21.09,175.6,5.9,0,Clippers,4895000,40,646830,16170
2003,Keyon Dooling,55,17.6,0.494,17.7,11.9,18.2,1,7.3,4.2,10.27,-5.3,-0.2,0,Clippers,1769000,40,646830,16170
2003,Lamar Odom,49,34.3,0.519,17.7,13.9,21,4,17.9,11,14.88,42.4,1.4,0,Clippers,3557000,40,646830,16170
2003,Michael Olowokandi,36,38,0.457,7.5,15.6,17.3,5,22.3,13.6,10.55,-0.5,0,1,Clippers,6061000,40,646830,16170
2003,Quentin Richardson,59,23.2,0.46,7.3,8.9,19.8,8,15.1,11.6,12.93,24.8,0.8,0,Clippers,1174000,40,646830,16170
2003,Shane Battier,78,30.6,0.597,13,8.4,12.1,6,10.1,8.1,14.35,68.5,2.3,0,Grizzlies,2368000,40,509806,12745
2003,Pau Gasol,82,36,0.57,12.7,11.8,22,7,19.9,13.7,20.66,201.6,6.7,1,Grizzlies,3194000,40,509806,12745
2003,Mike Miller,65,33.6,0.537,13.8,10.1,19.7,2.4,15.7,8.9,15.23,77.1,2.6,0,Grizzlies,2668000,40,509806,12745
2003,Michael Dickerson,6,14.5,0.553,19.9,14.9,15.7,1,6.4,3.9,9.84,-0.6,0,0,Grizzlies,2699000,40,509806,12745
2003,Stromile Swift,67,22.1,0.542,6.1,13.4,18.9,9,20.3,14.6,17.49,66,2.2,0,Grizzlies,3656000,40,509806,12745
2003,Jason Williams,76,31.7,0.501,36.8,9.8,21.1,1,8.6,5,17.83,122.6,4.1,0,Grizzlies,3425000,40,509806,12745
2003,Brevin Knight,55,16.9,0.442,40.8,16.5,17.6,2,7.9,4.9,11.31,2.1,0.1,0,Grizzlies,5062000,40,509806,12745
2003,Wesley Person,66,29.4,0.565,13.8,6.9,14.9,1,9.6,5.6,13.86,48.7,1.6,0,Grizzlies,7000000,40,509806,12745
2003,Lorenzen Wright,70,28.3,0.489,8,11,18.9,10,20,15,14.21,40.1,1.3,0,Grizzlies,6050000,40,509806,12745
2003,Nazr Mohammed,35,12.7,0.452,2.9,12,18.3,13,20.2,16.5,11.7,3.7,0.1,0,Hawks,5130000,41,686688,16748
